Prov. Code;Prov. Category;Prov. Type;Conc. Rel.;Descr. UI;Descr. Name;PH count;#Parent Ds;PHs;#Descendant Ds;MeSH Categories;year
4.0: Emersion;4: New Emerging concept;0: Emersion;-;D049750;Genome, Insect;0;1;;1;G;2006
4.0: Emersion;4: New Emerging concept;0: Emersion;-;D049751;Genome, Helminth;0;1;;1;G;2006
1.2: Subdivision;1: Old concept;2: Subdivision;NRW;D049770;Genes, Mating Type, Fungal;1;1;Genes, Fungal;0;G;2006
3.2: Subdivision;3: New PI concept;2: Subdivision;-;D049790;Nuclear Export Signals;1;1;Protein Sorting Signals;0;D~G;2006
4.0: Emersion;4: New Emerging concept;0: Emersion;-;D049810;Genetic Speciation;0;1;;0;G;2006
3.5: Detachment;3: New PI concept;5: Detachment;-;D049811;Anelloviridae;1;2;Anellovirus;1;B;2006
3.2: Subdivision;3: New PI concept;2: Subdivision;-;D049830;Cephalopoda;1;1;Mollusca;5;B;2006
3.5: Detachment;3: New PI concept;5: Detachment;-;D049831;Octopodiformes;1;1;Octopus;0;B;2006
4.0: Emersion;4: New Emerging concept;0: Emersion;-;D049832;Decapodiformes;0;1;;2;B;2006
3.3: Submersion;3: New PI concept;3: Submersion;-;D049833;Sepia;1;1;Mollusca;0;B;2006
3.2: Subdivision;3: New PI concept;2: Subdivision;-;D049834;Loligo;1;1;Squid;0;B;2006
3.3: Submersion;3: New PI concept;3: Submersion;-;D049850;Nautilus;1;1;Mollusca;0;B;2006
3.2: Subdivision;3: New PI concept;2: Subdivision;-;D049851;Gastropoda;1;1;Mollusca;11;B;2006
3.3: Submersion;3: New PI concept;3: Submersion;-;D049852;Clione;1;1;Mollusca;0;B;2006
3.3: Submersion;3: New PI concept;3: Submersion;-;D049853;Pleurobranchaea;1;1;Mollusca;0;B;2006
3.3: Submersion;3: New PI concept;3: Submersion;-;D049870;Hermissenda;1;1;Mollusca;0;B;2006
3.3: Submersion;3: New PI concept;3: Submersion;-;D049871;Tritonia Sea Slug;1;1;Mollusca;0;B;2006
3.2: Subdivision;3: New PI concept;2: Subdivision;-;D049872;Bivalvia;1;1;Mollusca;21;B;2006
4.0: Emersion;4: New Emerging concept;0: Emersion;-;D049873;Cardiidae;0;1;;0;B;2006
3.3: Submersion;3: New PI concept;3: Submersion;-;D049874;Corbicula;1;1;Mollusca;0;B;2006
3.3: Submersion;3: New PI concept;3: Submersion;-;D049875;Dreissena;1;1;Mollusca;0;B;2006
3.3: Submersion;3: New PI concept;3: Submersion;-;D049876;Unionidae;1;1;Mollusca;2;B;2006
3.3: Submersion;3: New PI concept;3: Submersion;-;D049877;Anodonta;2;1;Bivalvia~Mollusca;0;B;2006
1.1: Succession;1: Old concept;1: Succession;NRW;D049878;Mytilus;1;1;Mussels;1;B;2006
3.2: Subdivision;3: New PI concept;2: Subdivision;-;D049879;Mytilidae;1;1;Bivalvia;3;B;2006
3.3: Submersion;3: New PI concept;3: Submersion;-;D049880;Mytilus edulis;2;1;Bivalvia~Mollusca;0;B;2006
3.3: Submersion;3: New PI concept;3: Submersion;-;D049881;Unio;2;1;Bivalvia~Mollusca;0;B;2006
3.3: Submersion;3: New PI concept;3: Submersion;-;D049883;Perna;1;1;Bivalvia;0;B;2006
3.2: Subdivision;3: New PI concept;2: Subdivision;-;D049890;Spisula;1;1;Bivalvia;0;B;2006
3.2: Subdivision;3: New PI concept;2: Subdivision;-;D049891;Mercenaria;1;1;Bivalvia;0;B;2006
3.2: Subdivision;3: New PI concept;2: Subdivision;-;D049892;Mya;1;1;Bivalvia;0;B;2006
3.3: Submersion;3: New PI concept;3: Submersion;-;D049893;Arcidae;1;1;Mollusca;1;B;2006
3.3: Submersion;3: New PI concept;3: Submersion;-;D049894;Scapharca;1;1;Mollusca;0;B;2006
